job_name,species,analysis,filename,dti_value,dti_unit,dur_value,dur_unit,inds,runtime_hrs
hr_buf_1,buffalo,hr,buffalo_hr_dur2months_dti1hour_50inds.rds,1,hours,2,months,50,0.312737588
hr_buf_2,buffalo,hr,buffalo_hr_dur4months_dti1hour_50inds.rds,1,hours,4,months,50,0.597880532
hr_buf_3,buffalo,hr,buffalo_hr_dur1year_dti1hour_50inds.rds,1,hours,1,year,50,2.036759137
hr_buf_4,buffalo,hr,buffalo_hr_dur3years_dti1hour_50inds.rds,1,hours,3,years,50,5.91727532
hr_buf_5,buffalo,hr,buffalo_hr_dur9years_dti1hour_50inds.rds,1,hours,9,years,50,20.22343439
hr_gaz_1,gazelle,hr,gazelle_hr_dur2months_dti1hour_50inds.rds,1,hour,2,months,50,0.333872066
hr_gaz_2,gazelle,hr,gazelle_hr_dur4months_dti1hour_50inds.rds,1,hour,4,months,50,0.611623977
hr_gaz_3,gazelle,hr,gazelle_hr_dur1year_dti1hour_50inds.rds,1,hour,1,year,50,1.750342137
hr_gaz_4,gazelle,hr,gazelle_hr_dur3years_dti1hour_50inds.rds,1,hour,3,years,50,5.805225252
hr_gaz_5,gazelle,hr,gazelle_hr_dur9years_dti1hour_50inds.rds,1,hour,9,years,50,17.33969994
ctsd_buf_1,buffalo,ctsd,buffalo_ctsd_dti4hours_dur3months_50inds.rds,4,hours,3,months,50,5.651657979
ctsd_buf_2,buffalo,ctsd,buffalo_ctsd_dti3hours_dur3months_50inds.rds,3,hours,3,months,50,3.559087435
ctsd_buf_3,buffalo,ctsd,buffalo_ctsd_dti2hours_dur3months_50inds.rds,2,hours,3,months,50,1.293659947
ctsd_buf_4,buffalo,ctsd,buffalo_ctsd_dti1hour_dur3months_50inds.rds,1,hour,3,months,50,2.655921626
ctsd_buf_5,buffalo,ctsd,buffalo_ctsd_dti30minutes_dur3months_50inds.rds,30,minutes,3,months,50,5.400253699
ctsd_gaz_1,gazelle,ctsd,gazelle_ctsd_dti4hours_dur3months_50inds.rds,4,hours,3,months,50,0.474819867
ctsd_gaz_2,gazelle,ctsd,gazelle_ctsd_dti3hours_dur3months_50inds.rds,3,hours,3,months,50,0.538203788
ctsd_gaz_3,gazelle,ctsd,gazelle_ctsd_dti2hours_dur3months_50inds.rds,2,hours,3,months,50,0.620337503
ctsd_gaz_4,gazelle,ctsd,gazelle_ctsd_dti1hour_dur3months_50inds.rds,1,hour,3,months,50,0.833922186
ctsd_gaz_5,gazelle,ctsd,gazelle_ctsd_dti30minutes_dur3months_50inds.rds,30,minutes,3,months,50,1.30979921
hr_buf_option1,buffalo,hr,buffalo_hr_dur1year_dti15minutes_8inds.rds,15,minutes,1,year,8,1.354525087
hr_buf_option2,buffalo,hr,buffalo_hr_dur6years_dti2hours_8inds.rds,2,hours,6,years,8,1.032876566
hr_buf_option3,buffalo,hr,buffalo_hr_dur4years_dti1day_20inds.rds,1,day,4,years,20,0.133447527
hr_gaz_option1,gazelle,hr,gazelle_hr_dur1year_dti15minutes_8inds.rds,15,minutes,1,year,8,1.370817864
hr_gaz_option2,gazelle,hr,gazelle_hr_dur6years_dti2hours_8inds.rds,2,hours,6,years,8,1.160766851
hr_gaz_option3,gazelle,hr,gazelle_hr_dur4years_dti1day_20inds.rds,1,day,4,years,20,0.125866532
ctsd_buf_option1,buffalo,ctsd,buffalo_ctsd_dti15minutes_dur1year_8inds.rds,15,minutes,1,year,8,4.786919732
ctsd_buf_option2,buffalo,ctsd,buffalo_ctsd_dti2hours_dur6years_8inds.rds,2,hours,6,years,8,7.988736537
ctsd_buf_option3,buffalo,ctsd,buffalo_speed_dti1day_dur4years_20inds.rds,1,day,4,years,20,4.134295895
ctsd_gaz_option1,gazelle,ctsd,gazelle_ctsd_dti15minutes_dur1year_8inds.rds,15,minutes,1,year,8,2.245158869
ctsd_gaz_option2,gazelle,ctsd,gazelle_ctsd_dti2hours_dur6years_8inds.rds,2,hours,6,years,8,2.843240699
ctsd_gaz_option3,gazelle,ctsd,gazelle_ctsd_dti1day_dur4years_20inds.rds,1,day,4,years,20,0.800603978
